Name,MRP,Rate,Discount,Ratings,Packing
Kapiva Tulsi Giloy Juice,400.0,320.0,20.0,4.2,bottle of 1 Ltr Juice
Jiva Chyawanprasha,325.0,260.0,20.0,4.1,jar of 1000 gm Paste
Swadeshi Giloy Ras,195.0,158.0,19.0,4.5,bottle of 500 ml Liquid
Organic India Tulsi Ginger Turmeric Tea,148.0,141.0,4.0,4.5,box of 25 tea bags
Organic India Tulsi Mulethi Tea,148.0,133.0,10.0,4.5,box of 25 tea bags
E-COD Omega Vitamin E Softgels,301.5,271.0,10.0,4.2,strip of 30 soft gelatin capsules
ADEL Arsenicum Album Dilution 30 CH,130.0,121.0,7.0,,bottle of 10 ml Dilution
Jiva Neem Tablet,40.0,36.0,10.0,4.1,bottle of 60 tablets
Bjain Arsenicum Album Globules 30 CH,49.0,47.0,4.0,,bottle of 6 gm Globules
Organic India Chyawanprash,495.0,445.0,10.0,4.5,jar of 500 gm Paste
Jiva Chyawanprasha Sugar Free,195.0,166.0,15.0,4.2,jar of 500 gm Paste
St.Botanica Enteric Coated Salmon Fish Oil with Omega 3 Soft Gelatin Capsule,899.0,620.0,31.0,4,bottle of 60 soft gelatin capsules
Sri Sri Tattva Neem 300mg Tablet,130.0,123.0,5.0,4.3,packet of 60 tablets
Axiom Wheat Grass Giloye Stem Juice,460.0,358.0,22.0,4.2,bottle of 1000 ml Juice
Dhootapapeshwar Chyavanprash (Ashtavarg),450.0,414.0,8.0,4.2,jar of 1 kg Paste
Organic India Neem Veg Capsule,205.02,185.0,9.0,4.4,bottle of 60 vegicaps
Organic India Tulsi Ginger Tea,148.0,134.0,9.0,4.5,box of 25 tea bags
HerbalLeaf Chelated Iron + Vitamin C + Folic Acid + Vitamin B12 + Zinc Veggie Tablet,899.0,521.0,42.0,3,bottle of 150 tablets
Dr Willmar Schwabe India Arsenicum Album Dilution 200 CH,105.0,95.0,9.0,,bottle of 30 ml Dilution
1mg Flaxseed Oil 500mg Capsule,595.0,299.0,49.0,4.3,box of 60 capsules
Vitty Maxx Adult Gummy Raw Mango & Natural Mango,295.0,295.0,0.0,5,bottle of 20 gummies
Organic India Tulsi Ginger Tea,190.0,172.0,9.0,4.6,Tin of 100 gm Tea
GNC Triple Strength Fish Oil Softgel Capsules,2399.0,1322.0,45.0,,bottle of 60 soft gelatin capsules
Sri Sri Tattva Chyawanprash,110.0,104.0,5.0,4.2,jar of 250 gm Paste
Organic India Tulsi Green Tea Pomegranate,174.0,156.0,10.0,4.4,box of 25 tea bags
Dabur Giloya Satva,46.0,45.0,2.0,4.2,jar of 10 gm Powder
Swadeshi Tulsi Drop,110.0,98.0,11.0,4.2,bottle of 15 ml Drop
HerbalLeaf Vitamin B Complex + Vitamin C Tablet,1299.0,688.0,47.0,4.9,bottle of 90 tablets
Organic India Tulsi Tea Original,148.0,134.0,9.0,4.6,box of 25 tea bags
Evitol Capsule,375.0,354.0,5.0,4.1,strip of 15 soft gelatin capsules
PureFoods Vitamin C Tablet Gluten Free,425.0,361.0,15.0,3.4,bottle of 60 tablets
Dabur Giloy Churna,75.0,68.0,9.0,4.6,bottle of 100 gm Churna
Swadeshi Neem Giloy Ras,190.0,154.0,19.0,4.4,bottle of 500 ml Liquid
Himalaya Wellness Tulasi Respiratory Wellness Syrup,107.0,96.0,10.0,4.1,bottle of 200 ml Syrup
Goseva Giloy Ghanavati,100.0,98.0,2.0,3.3,bottle of 120 tablets
Bjain Arsenicum Album Dilution 30 CH,145.0,127.0,12.0,,bottle of 100 ml Dilution
Unjha Giloy (Guduchi) Ghanvati,190.0,186.0,2.0,4.9,bottle of 60 tablets
SBL Arsenicum Album Dilution 1000 CH,120.0,106.0,11.0,,bottle of 30 ml Dilution
"Dr. Patkar's Apple Cider Vinegar with Garlic, Ginger, Lemon and Honey",1187.5,990.0,16.0,4.5,bottle of 500 ml Syrup
Dhootapapeshwar Chyavanprash (Ashtavarg),242.0,228.0,5.0,4.2,jar of 500 gm Paste
Axiom Giloye Stem Juice,250.0,218.0,13.0,4.4,bottle of 500 ml Juice
Organic India Tulsi Veg Capsule,205.0,185.0,9.0,4.5,bottle of 60 vegicaps
Organic India Tulsi Green Tea Assorted,184.0,166.0,9.0,4.3,box of 25 tea bags
Basic Ayurveda Neem Giloy Juice,210.0,197.0,6.0,4.4,bottle of 500 ml Juice
Aadar Jeevani Capsule,340.0,272.0,20.0,,bottle of 60 capsules
GNC Triple Strength Fish Oil Softgel Capsules,5249.0,2748.0,47.0,,bottle of 120 soft gelatin capsules
Kapiva Karela Jamun Juice,300.0,270.0,10.0,4.3,bottle of 1 Ltr Juice
Organic India Tulsi Sleep Tea,154.0,146.0,5.0,4.4,box of 25 tea bags
Seacod Cod Liver Oil,192.86,166.0,14.0,4.1,bottle of 60 ml Oil
Organic India Tulsi Masala Chai,174.0,156.0,10.0,4.7,box of 25 tea bags
Herb Essential Giloy 500mg Immunity Booster Tablet,2500.0,2000.0,20.0,,jar of 1000 tablets
Vihan Vitamin C 1000mg Capsule,1995.0,1473.0,26.0,,bottle of 60 capsules
Jiva Karela Jamun Plus Juice,150.0,128.0,14.0,4.6,bottle of 500 ml Juice
Inlife Flaxseed Oil Capsule,499.0,273.0,45.0,4.1,bottle of 60 capsules
Pure Nutrition Vitamin C Tablet,999.0,729.0,27.0,,bottle of 60 tablets
Natureal Curcumin Blast 800mg Capsule,1999.0,498.0,75.0,4,bottle of 60 capsules
Organic India Tulsi Original Tea,190.0,172.0,9.0,4.5,jar of 100 gm Tea
SBL Arsenicum Album Dilution 6 CH,85.0,81.0,4.0,,bottle of 30 ml Dilution
HealthKart Salmon Omega-3 Soft Gelatin Capsule,1000.0,500.0,50.0,4.3,bottle of 60 soft gelatin capsules
Krishna's Geloy Tulsi Juice,280.0,230.0,18.0,4.5,bottle of 1000 ml Juice
Goseva Tulsi Ghanavati,100.0,100.0,0.0,,bottle of 120 tablets
Chicnutrix Glow Glutathione and Vitamin C Effervescent Tablet Strawberry and Lemon,1800.0,1674.0,7.0,,bottle of 20 Effervescent Tablet
Inlife Krill Oil Omega 3 Fatty Acid 500mg Capsule,1500.0,869.0,42.0,,bottle of 30 capsules
Organic India Tulsi Green Tea Jasmine,174.0,156.0,10.0,4.1,box of 25 tea bags
Charak Extrammune Syrup,115.0,113.0,1.0,4.5,bottle of 200 ml Syrup
Mpil Neemelia Tablet,209.0,203.0,3.0,,box of 100 tablets
Nutriorg Vedic Chyawanprash,495.0,421.0,15.0,4.9,jar of 500 gm Paste
Lama Chyawanprash,575.0,385.0,33.0,4,jar of 2 kg Paste
Four Seasons Giloy Tulsi Papita Juice,200.0,170.0,15.0,3.9,bottle of 500 ml Juice
Organic India Tulsi Tummy Tea,154.0,138.0,10.0,4.4,box of 25 tea bags
Swadeshi Shudh Neem Honey,250.0,198.0,21.0,3.9,bottle of 500 gm Paste
Jiva Turmsil Turmeric Lozenges,100.0,90.0,10.0,4.3,packet of 20 lozenges
Four Seasons Giloy Juice,160.0,155.0,3.0,3.9,bottle of 500 ml Juice
Organic India Tulsi Sweet Rose Tea,148.0,134.0,9.0,4.3,box of 25 tea bags
Natureal Giloy Extract 800mg Capsule,1999.0,498.0,75.0,4,bottle of 60 capsules
"Krishna's Amla Aloe Vera Juice with Wheat Grass, Haldi & Tulsi",155.0,150.0,3.0,4,bottle of 500 ml Juice
Axiom Karela Jamun Juice,160.0,150.0,6.0,4.2,bottle of 500 ml Juice
Udisyp Syrup,160.0,157.0,2.0,,bottle of 200 ml Syrup
Axiom Wheat Grass Giloye Stem Juice,250.0,218.0,13.0,4.2,bottle of 500 ml Juice
Bio-Av Curcumin 500mg Tablet,790.0,748.0,5.0,,bottle of 30 tablets
Basic Ayurveda Lauki Juice with Tulsi & Pudina,190.0,184.0,3.0,4.3,bottle of 1000 ml Juice
AVG Giloy Vital Sugar Free,210.0,173.0,17.0,3.8,bottle of 500 ml Liquid
Organic India Tulsi Masala Tea,230.0,208.0,9.0,4.5,Tin of 100 gm Tea
Alna Giloy Tablet,160.0,129.0,19.0,5,bottle of 30 tablets
Kudos Tulsi Gold Green Tea (2gm Each),175.0,157.0,10.0,4.1,box of 25 tea bags
