Name,MRP,Rate,Discount,Ratings,Packing
Patanjali Ayurveda Special Chyawanprash with Saffron,130.0,130.0,0.0,3.9,jar of 500 gm Paste
Baidyanath Junior Prash,180.0,170.0,5.0,4.3,jar of 500 gm Paste
Dabur Chyawanprash Awaleha with 100gm Honey Free Chocolate,335.0,285.0,15.0,,jar of 900 gm Paste
Himalaya Chyavanaprasha,190.0,184.0,3.0,4.2,packet of 500 gm Paste
Zandu Kesari Jeevan Fit for Diabetics,415.0,415.0,0.0,,jar of 450 gm Paste
Sri Sri Tattva Chyawanprash,215.0,211.0,2.0,4.2,jar of 500 gm Paste
Dabur Chyawanprash Awaleha with 50gm Honey Free Mixed fruit,190.0,162.0,14.0,,jar of 500 gm Paste
Pankajakasthuri Chyavanaprash,196.0,196.0,0.0,4.8,jar of 500 gm Paste
Dabur Chyawanprash Awaleha with 50gm Honey Free Chocolate,190.0,162.0,14.0,,jar of 450 gm Paste
Baidyanath Chyawanprash Special,180.0,162.0,10.0,4.3,jar of 500 gm Paste
Multani Chyawanprash Special,325.0,325.0,0.0,4.7,jar of 1 kg Paste
Baidyanath Junior Prash,325.0,298.0,8.0,4.3,jar of 1 kg Paste
Cureveda Pureprash,645.0,625.0,3.0,,jar of 500 gm Paste
Averdynm Herbals Chavanaprasam Linctus,217.0,217.0,0.0,,bottle of 450 gm Linctus
Hakim Suleman's Majoon Akhrotprash,1750.0,1662.0,5.0,,jar of 400 gm Paste
Baidyanath Chyawanprash Special with 30ml Baidyanath Oli Oil Free,325.0,276.0,15.0,4.4,jar of 1 kg Paste
Baidyanath (Nagpur) Chyawan-Fit Sugar Free,395.0,395.0,0.0,,jar of 1 kg Paste
IMC Chayawan Gold,295.0,295.0,0.0,,jar of 500 gm Paste
Kairali Chyawanaprasam,230.0,230.0,0.0,,jar of 500 gm Paste
Multani Chyawan Bhog,355.0,355.0,0.0,,jar of 900 gm Paste
Baljiwan Chywanprash,295.0,295.0,0.0,,jar of 1 kg Paste
Lupin Chyawanprash,159.56,159.56,0.0,,box of 1 Paste
A2 Chyavanprash,390.0,390.0,0.0,,jar of 500 gm Paste
Baidyanath (Nagpur) Chyawanprash Special,93.0,93.0,0.0,,jar of 250 gm Paste
Wisdom Natural Kesar Kalp Chyawanprash,549.0,532.0,3.0,,jar of 1000 gm Paste
Aarshaveda Organic Chyavanaprash,450.0,450.0,0.0,,jar of 250 gm Paste
Ashtanga Chyavanaprasam,142.0,142.0,0.0,,jar of 250 gm Paste
Baidyanath (Nagpur) Chyawanprash Special,180.0,180.0,0.0,,jar of 500 gm Paste
Ashtanga Chyavanaprasam,262.0,262.0,0.0,,jar of 500 gm Paste
Kalpamrit Chyawanprash,450.0,450.0,0.0,,jar of 1 kg Paste
Baidyanath (Nagpur) Chyawanprash Special,330.0,330.0,0.0,,jar of 1 kg Paste
Moon Herbal Healthy Kesar Prash,349.0,332.0,5.0,,jar of 500 gm Paste
Bipha Ayurveda Chyawanaprasham,690.0,668.0,3.0,,jar of 250 gm Paste
Moon Herbal Healthy Kesar Prash,649.0,630.0,3.0,,jar of 1 kg Paste
Wisdom Natural Kesar Kalp Chyawanprash,299.0,299.0,0.0,,jar of 500 gm Paste
Nature & Nurture ChyawanPrash,185.0,181.0,2.0,3.4,jar of 450 gm Paste
