Name,MRP,Rate,Discount,Ratings,Packing
Green Brrew Green Wash Fruit & Vegetable Washer,200.0,180.0,10.0,,bottle of 200 ml Liquid
PHS Ayurfresh Cleaning and Detoxifying Solution for Vegetables and Fruits,350.0,350.0,0.0,,bottle of 500 ml Liquid
Lizol Double Concentrate Disinfectant Surface Cleaner Citrus,325.0,276.0,15.0,,bottle of 900 ml Liquid
Indiklin Premium Surface Disinfectant Lavender,2490.0,1494.0,40.0,,Canister of 5 Ltr Liquid
Bioayurveda Basics Anti-Bacterial Organic Body & Clothes Spray Solution,250.0,243.0,2.0,,bottle of 500 ml Sanitizer
Asianpaints Viroprotek Ultra Disinfectant Floor Cleaner (500ml Each) Pine,186.0,186.0,0.0,,combo pack of 2 bottles
LuvLap Liquid Cleanser,349.0,349.0,0.0,,pump bottle of 500 ml Liquid
Asianpaints Viroprotek Ultra Disinfectant Floor Cleaner (500ml Each) Citrus,186.0,186.0,0.0,,combo pack of 2 bottles
OneLife SteriFood Fruit and Vegetable Cleansing Liquid (375ml Each),249.0,224.0,10.0,,bottle of 2 liquids
Schulke Gigasept GTA High-Level Instrument Disinfectant Solution,350.0,350.0,0.0,,bottle of 5 Ltr Solution
Bioayurveda Basics Anti-Bacterial Organic Body & Clothes Spray Solution,100.0,98.0,2.0,,bottle of 200 ml Sanitizer
LuvLap Liquid Cleanser,479.0,479.0,0.0,,packet of 1000 ml Liquid
Asianpaints Viroprotek Ultra Disinfectant Floor Cleaner Pine,770.0,770.0,0.0,,Canister of 5 Ltr Liquid
Mirah Belle Surface Disinfectant Spray,2500.0,1750.0,30.0,,Canister of 5 Ltr Spray
Keepsafe Multi-Purpose Disinfectant Spray,215.0,161.0,25.0,,bottle of 90 ml Spray
Schulke Terralin Dis Aldehyde-Free Surface Disinfectant,275.0,275.0,0.0,,bottle of 500 ml Liquid
Bioayurveda Basics Anti-Bacterial Organic Homesafe Spray Solution,250.0,250.0,0.0,,bottle of 500 ml Liquid
Bioayurveda Basic 100% Natural Fruits & Veggies Anti-Bacterial Rinse,250.0,250.0,0.0,,bottle of 500 ml Liquid
The Man Company Sanitizer Wipes (10 Each),405.0,344.0,15.0,,packet of 3 Packs
Bioayurveda Basic 100% Natural Fruits & Veggies Anti-Bacterial Rinse,100.0,100.0,0.0,,bottle of 200 ml Liquid
Bioayurveda Basics Anti-Bacterial Organic Homesafe Spray Solution,100.0,100.0,0.0,,bottle of 200 ml Liquid
Green Brrew Disinfectant Surface Cleaner Spray (60ml Each),200.0,180.0,10.0,,combo pack of 2 bottles
UE Swatchh Multi Purpose Disinfectant,231.0,209.0,9.0,,bottle of 200 ml Liquid
Green Brrew Instant Vegetable and Fruits Sterilizer Spray (60ml Each),200.0,200.0,0.0,,combo pack of 2 bottles
Jaipan Fruit & Vegetable Wash,230.0,179.0,22.0,,bottle of 375 ml Liquid
Powell's Flora Antiseptic Lotion,120.0,120.0,0.0,,bottle of 100 ml Lotion
Indiklin Premium Surface Disinfectant (500ml Each) Lavender,249.0,150.0,39.0,,box of 1 Bottle
"Baby Chakra Home Fruit, Veggies & Toys Wash",449.0,440.0,2.0,,bottle of 200 ml Liquid
The Man Company Sanitizer Wipes (10 Each),540.0,459.0,15.0,,packet of 4 Packs
LuvLap Liquid Cleanser,669.0,669.0,0.0,,Canister of 1.5 Ltr Liquid
